id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Кабанова;Immanuel_40@gmail.com;modular Бетонный ул.;2021-08-10T05:40:27;51073;32002
2;Frances;Яковлев;Harmon.97@gmail.com;Маленький Ставропольский Невероятный;2021-08-09T15:14:08;71090;65309
3;Laurence;Шарапов;Everette.@yandex.ru;кросс-платформенный;2021-08-10T06:41:46;90426;52820
4;Reuben;Никифорова;Eriberto54@hotmail.com;страховой Berkshire Пластиковый;2021-08-10T05:36:40;20289;35290
5;Marcelina;Королева;Madaline.@yahoo.com;коммуникационный Бетонный Account;2021-08-10T04:35:55;72993;41375
6;Destini;Фомичев;Zaria.@mail.ru;оптимизационный;2021-08-10T01:30:33;422;8893
7;June;Чернова;Keith3@hotmail.com;Uruguayo;2021-08-09T22:02:03;16398;79591
8;Louvenia;Сергеева;Dean_0@ya.ru;багровый Secured Ножницы;2021-08-09T18:53:32;3392;62485
9;Laurence;Зайцев;Erick.@hotmail.com;reinvent deposit;2021-08-09T17:24:42;93711;52100
10;Cathy;Мясников;Westley.@gmail.com;ул.;2021-08-09T19:56:37;39718;32719
